Stock,Stock Name,Stock Long Name,Board,Sector
"=""5161""",JCY,JCY INTERNATIONAL BERHAD,MAIN MARKET,TECHNOLOGY
"=""5162""",VSTECS,VSTECS BERHAD,MAIN MARKET,TECHNOLOGY
"=""5163""",SEB,SEREMBAN ENGINEERING BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5165""",HOKHENG,HOCK HENG STONE INDUSTRIES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5166""",MINDA,MINDA GLOBAL BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5167""",TURBO,TURBO-MECH BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5168""",HARTA,HARTALEGA HOLDINGS BHD,MAIN MARKET,HEALTH CARE
"=""516810""",HARTA-C10,HARTA-C10: CW HARTALEGA HOLDINGS BERHAD (MIBB),STRCWARR,HEALTH CARE
"=""516811""",HARTA-C11,HARTA-C11: CW HARTALEGA HOLDINGS BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""516813""",HARTA-C13,HARTA-C13: CW HARTALEGA HOLDINGS BERHAD (AM),STRCWARR,HEALTH CARE
"=""516814""",HARTA-C14,HARTA-C14: CW HARTALEGA HOLDINGS BERHAD (KIBB),STRCWARR,HEALTH CARE
"=""516815""",HARTA-C15,HARTA-C15: CW HARTALEGA HOLDINGS BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""516816""",HARTA-C16,HARTA-C16: CW HARTALEGA HOLDINGS BERHAD (AM),STRCWARR,HEALTH CARE
"=""516817""",HARTA-C17,HARTA-C17: CW HARTALEGA HOLDINGS BERHAD (RHB),STRCWARR,HEALTH CARE
"=""516818""",HARTA-C18,HARTA-C18: CW HARTALEGA HOLDINGS BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""5169""",HOHUP,HO HUP CONSTRUCTION COMPANY,MAIN MARKET,CONSTRUCTION
"=""5170""",SCABLE,SARAWAK CABLE BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5171""",KIMLUN,KIMLUN CORPORATION BERHAD,MAIN MARKET,CONSTRUCTION
"=""5171WA""",KIMLUN-WA,KIMLUN CORPORATION BERHAD -WA 14/24,MAIN MARKET,CONSTRUCTION
"=""5172""",KSTAR,K-STAR SPORTS LIMITED,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5172WA""",KSTAR-WA,K-STAR SPORTS LIMITED - WARRANTS 2018/2021,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
